VALUE,DESCRIPTION
lake,lac
ephemeral lake,lac temporaire
marsh,marais
glacier,glacier
debris covered glacier,glacier couvert
permanent snow patch,névé permanent
alluvial fan,cône de déjection
accumulation area,surface d’accumulation
rockslide,tassement rocheux
landslide,glissement
translational landslide,glissement couche sur couche
solifluction lobes,loupes de solifluxion
shallow landslide,micro-glissement de surface
scree slope,éboulis
rockfall deposit,dépôts d’éboulement
vegetation covered scree,éboulis couvert
exposed solution channels,lapiés nus
buried solution channels,lapiés couverts
eroded solution channels,lapiés démantelés
gelifracted solution channels,clapiés
gypsum karst,karst du gypse
ouvala,ouvala
closed basin,dépression fermée
delta,delta
glacial basin,ombilic
roches moutonnees,roches moutonnées
drumlin,drumlin
fluvio-glacial deposit,épandage fluvio-glaciaire
moraine,moraine
deposit of rockfall on glacier,dépôts d’éboulement sur glacier
gelifluction lobe,loupes de solifluxion
rockglacier,glacier rocheux
relict rockglacier,glacier rocheux fossile
creeping scree,éboulis fluant
patterned ground,sol structuré
sorted ground,pierres redressées
paved ground,dalage de pierres
gelifraction deposits,amas de gélifracts
thermokarst,dépression thermokarstique
kettle lake,kettle
thufurs,buttes gazonnées
avalanche erosion zone,érosion par avalanche
quarry,carrière
ski run,piste de ski
